Author,Comment,Time
@beezybeez7231,This is so good but you must hear “The Wave” or “City” by SLT 🤘🌊🌃,10 minutes ago
@beezybeez7231,This is so good but you must hear “The Wave” or “City” by SLT 🤘🌊🌃,8 minutes ago
@LaKlerre,"Before, NOW and FOREVER?!?!",8 minutes ago
@beezybeez7231,This is so good but you must hear “The Wave” or “City” by SLT 🤘🌊🌃,8 minutes ago
@PepGuard-tp4ny,Guapa? 😂😂😂😂,13 minutes ago
@beezybeez7231,This is so good but you must hear “The Wave” or “City” by SLT 🤘🌊🌃,7 minutes ago
@beezybeez7231,This is so good but you must hear “The Wave” or “City” by SLT 🤘🌊🌃,7 minutes ago
@beezybeez7231,This is so good but you must hear “The Wave” or “City” by SLT 🤘🌊🌃,7 minutes ago
@lnazh6313,@beezybeez7231   now I'm in your little game,2 minutes ago
@tvorec7873,figure.09 and one step closer,15 minutes ago
@Aachouqueeutavabrincando,The same vibe I felt in the 2000s thanks Linkin park... Everything reminds me of a step closer this is amazing. Thank you very much!!,15 minutes ago
@Ursuss21,Is this Three Days Grace - Painkiller? It's cool anyway.,15 minutes ago
@SunsetWaffuruBcu,"Linkin park is back, baby ❤",15 minutes ago
@jawsh6027,🔥🔥🔥🔥🔥🔥,15 minutes ago
@christianalencar-j9n,"O comentário brasileiro que você estava atras. Que música meus amigos, que música !",16 minutes ago (edited)
@rodrigoshow182,"Wow, they really came back to their roots!! Amazing!! 🇧🇷🇧🇷",16 minutes ago
@JustxWrestling,Love seeing a band enjoying their own music this much ❤️🤘,17 minutes ago
@suyashjoshi4502,NFS most wanted kinda song,17 minutes ago
@invinciblefeelings1439,Fire 🔥🔥,17 minutes ago
@surrahnicole,"This is why it was so important for Linkin Park to make a comeback without Chester. They’re ALL talented MFers and the world needs to hear more. As missed as he is, this is amazing and I think he’d be proud of them for making a comeback and doing big things. Side note, I love Emily’s lil dancey dances lol.",17 minutes ago
@เทวะพันธุ์วิเชียรศิลป์,หอมกลิ่นเก่าโชยมา  อาาา คิดถึงเหลือเกิน,17 minutes ago
@Vikky_V,THIS IS SOO GOOD!🤯🖤 love the old lp style with Em's spin on it!,17 minutes ago
@ПавелПодковыров-щ2я,"Очень смело, красавчики!",17 minutes ago
@davidking85,AMO!!!!-,17 minutes ago
@kitovsk,WOW! New GuanoApes!!!! ))),17 minutes ago
@kokoronoheiwa,Im sharing. Stop me....,18 minutes ago
@DaniBoy-pc9zq,Pretty epic,18 minutes ago
@SarwarNouri,yes,18 minutes ago
@srshk74,"Lyrics:

Last time, I was hanging by a thread (Thread)
Tryna say I'm not, but I'm in it over my head (Head)
That's when I figured out where it led
Beginnin' to realize that you put me over the edge

Your truth's not rigid, your rules aren't fair
The dark's too vivid, the light's not there
I start to give in, but I can't bear
To put it all behind, I run into it blind like

Two faced, caught in the middle
Caught in the middle
Too late, countin' to zero
Countin' to zero
You should havе recognized
It's too late for choosing sidеs
Two-faced, caught in the middle
Caught in the middle (Two faced)

Last time, you told me it wasn't true (True)
And pointin' every finger at things that you didn't do (Do)
So that's why I kept missin' the clues
And never realized that the one that did it was you

Your truth's not rigid, your rules aren't fair
The dark's too vivid, the light's not there
I start to give in, but I can't bear
To put it all behind, I run into it blind like

Two faced, caught in the middle
Caught in the middle
Too late, countin' to zero
Countin' to zero
You should have recognized
It's too late for choosing sides
Two-faced, caught in the middle
Caught in the middle (Two faced)

I can't hear myself think
I can't hear myself think
I can't hear myself think

Stop yelling at me
I can't hear myself think, yeah
Stop yelling at me
Stop yelling at me
Stop yelling at me

Two faced, caught in the middle
Caught in the middle
Too late, countin' to zero
Countin' to zero
You should have recognized
It's too late for choosing sides
Two faced, caught in the middle
Caught in the middle, caught in the middle
Caught in the middle, caught in the middle
Caught in the middle (Two faced)",18 minutes ago (edited)
@beezybeez7231,This is so good but you must hear “The Wave” or “City” by SLT 🤘🌊🌃,7 minutes ago
@beezybeez7231,This is so good but you must hear “The Wave” or “City” by SLT 🤘🌊🌃,7 minutes ago
@beezybeez7231,This is so good but you must hear “The Wave” or “City” by SLT 🌊🌃🤘,7 minutes ago
@beezybeez7231,This is so good but you must hear “The Wave” or “City” by SLT 🌊🌃🤘,7 minutes ago
@SunsetWaffuruBcu,"@ Thanks for this suggestion, it's exactly my taste in music and I saved it directly to my playlist.",2 minutes ago
@beezybeez7231,This is so good but you must hear “The Wave” or “City” by SLT 🌊🌃🤘,7 minutes ago
@beezybeez7231,This is so good but you must hear “The Wave” or “City” by SLT 🌊🌃🤘,6 minutes ago
@beezybeez7231,This is so good but you must hear “The Wave” or “City” by SLT 🌊🌃🤘,6 minutes ago
@beezybeez7231,This is so good but you must hear “The Wave” or “City” by SLT 🌊🌃🤘,6 minutes ago
@beezybeez7231,This is so good but you must hear “The Wave” or “City” by SLT 🌊🌃🤘,6 minutes ago
@beezybeez7231,This is so good but you must hear “The Wave” or “City” by SLT 🌊🌃🤘,6 minutes ago
@beezybeez7231,This is so good but you must hear “The Wave” or “City” by SLT 🌊🌃🤘,6 minutes ago
@beezybeez7231,This is so good but you must hear “The Wave” or “City” by SLT 🤘🌃🤘,6 minutes ago
@beezybeez7231,This is so good but you must hear “The Wave” or “City” by SLT 🤘🌃🤘,5 minutes ago
@beezybeez7231,This is so good but you must hear “The Wave” or “City” by SLT 🤘🌃🤘,5 minutes ago
@beezybeez7231,This is so good but you must hear “The Wave” or “City” by SLT 🤘🌃🤘,5 minutes ago
@beezybeez7231,This is so good but you must hear “The Wave” or “City” by SLT 🤘🌃🤘,5 minutes ago
@beezybeez7231,This is so good but you must hear “The Wave” or “City” by SLT 🤘🌃🤘,5 minutes ago
@beezybeez7231,This is so good but you must hear “The Wave” or “City” by SLT 🤘🌃🤘,5 minutes ago
@beezybeez7231,This is so good but you must hear “The Wave” or “City” by SLT 🤘🌃🤘,5 minutes ago
@beezybeez7231,This is so good but you must hear “The Wave” or “City” by SLT 🤘🌃🤘,5 minutes ago
@smeta86,🔥🔥🔥🔥🔥🔥,18 minutes ago
@laurenztkaczenko,Figure.10,18 minutes ago
@arachano89,That reverse shot at 0:44 is great,18 minutes ago
@Hxzzyn,banger,18 minutes ago
@Ingrimm2,"That riff, that voice ...Uuuuuuuuuuuuuuuuuuuuuuuuuuuh <3",18 minutes ago
@KPCflipping,Limp Bizkit style baby ayeaah,18 minutes ago
@czolgistta,"Anybody gets that Guano Apes vibe too? 😎😎😎

LEEEEET'S GOOO LP!!!",19 minutes ago
@chained-x-official,Yesssss 🤘😍,19 minutes ago
@dawwgf,"Kinda underwhelming tbh. Idk if it’s the vocalist that just doesn’t add enough, or if the instrumental is just a bit weak, or a combination of both. But it’s really not anything groundbreaking to me.",19 minutes ago
@funny_animals92,Он степ Клос на минималках,19 minutes ago
@bartholomeoblundell5772,very original riff ..... from one step closer,20 minutes ago
@AWDTH1111,This is gay as hell. Let Nu Metal stay dead lol,20 minutes ago
@nandoscunha,"I'm really loving that we'll be getting in touch, inch by inch, about Emily's energy. For those (like me) that didn't know about her before, this video was extremely fun and intense - go for it, Emily!!!! Great song, great energy and solid LP dna.",20 minutes ago
@stefanbuttner9158,Emily is the best.,20 minutes ago
@namelesske,2 little 2 late,20 minutes ago
@Chaospandaaa,:face-red-heart-shape:,20 minutes ago
@Jose10245,Loved it,21 minutes ago
@coya29,"waaaaaaaaaaaaaao que genial,,, tiene toda la escencia del Linkin Park anterior ,,,, que geeeeenial :p",21 minutes ago
@ТитовМаксим-р2э,:virtualhug:Зачем ты переводишь мое сообщение?:goodvibes:ты пупсик,21 minutes ago
@HansjörgWille,R.I.P Chester❤,21 minutes ago
@beezybeez7231,This is so good but you must hear “The Wave” or “City” by SLT 🤘🌃🤘,5 minutes ago
@biaali1,LP EVERYWHERE ERA IS BACK BABY 🔥 🔥🔥,21 minutes ago
@ghremixofficial,Emily gives me Sandra / Guano Apes vibe...,21 minutes ago
@patriciacarreon2192,GREETINGS from México,21 minutes ago
@alaska8511,Freaking amazinnnggggg,21 minutes ago
@vladklein,"Please change this singer
its cringe",21 minutes ago (edited)
@Tenyson-b,"Increíble canción, los quiero mucho.",21 minutes ago
@Hablajordy,Perú 🇵🇪!!!!!!,21 minutes ago
@gio2l18,seeeeee !!!Music is not die!!!,21 minutes ago
@dansemacabre5123,That guitar riff - it's like reliving the first time I heard One Step Closer!,22 minutes ago
@keny2473,Está canción podría estar en una película de rápidos y furiosos o en algun need for speed 😍,22 minutes ago
@miguelmerino6144,"La LP no murió. Noviembre. Buenos Aires , Argentina.",22 minutes ago
@chadguts600,Mr.Hahn is officially John Wick now. 😂,22 minutes ago
@pedrohyorow,💥💥💥💥💥💥,22 minutes ago
@miguelmerino6144,"La LP no murió. Noviembre. Buenos Aires , Argentina.",22 minutes ago
@thechrissguy,Welcome back Hybrid Theory.,22 minutes ago
@l.l.8012,Popatrzcie na nas,22 minutes ago
@RaconSalazar,Common haters. Isn't this enough?,22 minutes ago
@phil.ravelife,This is the sound of (old) Linkin Park. Wow! 🫶🏻,22 minutes ago
@timurkhodyrev,Amazing ❤,22 minutes ago
@MailinRosales-j5z,Wow😊,23 minutes ago
@mrgonzale0978,they going to still complaining and crying anyway. like always.,15 minutes ago
@maryanagg1,❤❤❤❤❤❤❤,23 minutes ago
@jokaron__jo_designs_tattoo2626,i unfortunately confirm... i dont like anymore linkin park,23 minutes ago
@Alex-gw1zw,"I love how all these new songs bring some old sounds, blend them with the new, and bring on a new chapter for LP. It's also a bonus you can interpret a lot of the lyrics as a response to the flack they've been getting for hiring Emily. Two-Faced: Fans who claimed to love Lincoln Park but hated on them for continuing without Chester. ""It’s too late for choosing sides"" Chester is dead, this is Lincoln Park now. Are you a fan or are you two-faced? :)",23 minutes ago (edited)
@jfcostalrv,THIS IS LINKIN PARK!,23 minutes ago
@nulldmg27,"Chester was a huge part of their sound, but this shows they can still sound like Linkin Park with a new singer. Their sound was always a band effort.",23 minutes ago
@benjaminm8587,I fell again in love with LP omg! And Emily :3,23 minutes ago (edited)
@ceuazul7006,"Nossa Nossa  👄 mulher de terno é outro nivel , agora a música tá massa demais",23 minutes ago
@davidnagy4723,i know im gonna get sht for that but this chick doesnt deserve the hype. no im not saying she is bad but she is not even close as good as ppl claim her to be...,23 minutes ago
@Serena3473,This just makes me so happy 😊,23 minutes ago
@IntellektuellerZuruf,Actually Lp gets many NEW fans..,24 minutes ago
@michalslatina8004,"Emily is definitely DEMON. She in this, totaly NAILS IT!!! Super video. I never seen LP in suits. 👍👌👍👍👍👍👍👍",24 minutes ago
@rogermeneses2893,Random BMX bike definitely bringing me back to Middle school lol,24 minutes ago
@Wabambrah,🔥🥹,24 minutes ago
@palomagomes2814,This is linkin park,24 minutes ago
@viraj24_,Man we are eating gooood,24 minutes ago
@lelokek2967,"Эмили буквально, тот человек, которого можно описать фразой: ""этой больше не наливайте""",24 minutes ago
@aurelienhaplos8597,Same old story....,25 minutes ago
@studiopisces88,Emily...keep going sweet heart,25 minutes ago
@Travelalgarve,Well done! 100%!,25 minutes ago
@FADE_FROM_VIEW,Hahn Wick.,26 minutes ago
@Nikita.Landman,Хорош!),23 minutes ago
@KseniaIce9,"Thats what we were missing for years, thank you, LinkinPark!",26 minutes ago
@chomplor,Lo de ella no son los gritos...,26 minutes ago
@shirozaki1110,Me sinto no começo dos anos 2000 que maravilha,26 minutes ago
@GenesisXTRM,"This one goes out to all the LP ""fans"" that think the band should've died with Chester. Love and miss him....but I'm glad the music is still alive....",26 minutes ago
@wandersonrolemberg3255,"A Emily Armstrong é o Chester Bennigton de calcinha....ela nunca será igual a ele, mas é uma substituta a altura.canta pra caralho.....",26 minutes ago
@ervinlopez6804,Oh lord! Wow I'm amazed!!! I love them❤❤❤❤❤,26 minutes ago
@RaulZombie,Shinoda salvando La banda,26 minutes ago
@pocve3222,I love this one bc it’s similar to faint dude this is incredible love from Gaza Palestine 🇵🇸,27 minutes ago
@WillkommeninWutzbach,Banger🔥🔥🔥🔥,27 minutes ago (edited)
@novemberfifteen7096,❤❤❤❤,27 minutes ago
@sergusbower1270,Absolutely love it. The video as well. Suits and something about a female vocalist is special. Thanks for bringing back Tunes.,27 minutes ago
@realkristo20,"honestly , I really like this one! it's really good",27 minutes ago
@justinlambert7693,😁😄😀😃,27 minutes ago
@nomadicrain,This is freaking dope!!,27 minutes ago
@bielferreiradrums,BRAAAAAADDDD DELSOOOOOON 😭😭😭😭😭😭😭😭,27 minutes ago
@ahmadkarama1984,Damn it feels like summers back in 2000s,27 minutes ago
@WimmelGamer,Linkin Park is hotter than ever,28 minutes ago
@Raafiu4,Good to See Brad Back with the Guitar,28 minutes ago
@studiopisces88,Chester has sent his second voice ❤🔥,28 minutes ago
@desmoheli,"The ""LPTV Making of Two Faced"" must be an hour long 🤣",28 minutes ago
@babbancs,Energy 🦾🤘❤️,29 minutes ago
@PCSFC,In this one she sang like Chester and moved like Jagger 😂.,29 minutes ago
@mr_hardy5329,🔥🔥❤❤,29 minutes ago
@igorch69,Fantastic song!!!,29 minutes ago
@twistedsanity623,Fck yeah keep em coming!,29 minutes ago
@Ztrgsr,"Me atrapaste, es esencia 🙌",29 minutes ago
@dreamsteam8272,Boring!,29 minutes ago
@yashrajnimse,we know that Chester Bennington wont be in new video 😔,29 minutes ago
@Dericky_Reboucas,"This was the best birthday gift I could ever receive, I'm so happy that Linkin Park is back",29 minutes ago
@iNeedaBreakdown,"Had to wait 20 years for this sound to FINALLY come back - worth it. 
Now please LP let it stay.",29 minutes ago
@emilioaldas5046,"This album sounds like: ""We can still do what we did before but without Chester""",30 minutes ago
@Yelahna95rofl,I. Love. It.,30 minutes ago
@alanjrm1104,❤❤❤❤,30 minutes ago
@ncoamaya,KE BIEEEEEEEEEENNNNNNNNNNNNNNNNNNNNNN 🤘,30 minutes ago (edited)
@dwad75,Вы серьёзно? Это и есть Linkin Park??? Рукалицо,30 minutes ago
@springfreshair,RIP CHESTER,30 minutes ago
@studiopisces88,I cannot get over this !,30 minutes ago
@Periwinkletune,❤️,30 minutes ago
@IcekiLLa877,Who is here in 2000?,30 minutes ago
@EESD17,✨🔥,30 minutes ago
@studiopisces88,STOP YELLING AT ME!,31 minutes ago
@lausamper,"ME FLIPAAAA!!!!!!!!!!!!!!!!!!!!! Me ha recordado a Hit the floor :') sois los mejores, por favor venid a España!!",31 minutes ago (edited)
@TinyStudioProduction,"Reminds me of ""one step closer"" and ""figure"" definitely old link park vibes 🤘🙏🙌",31 minutes ago
@vocpt3776,"I love all these new drops, but anyone else getting blonde Tommy Wiseau vibes from Emily in that suit?",31 minutes ago
@SNAK3s97,Figure .09 ?,31 minutes ago
@KillaKnightBG,Finally an actual Linkin Park album!!!! This sounds more Linkin Park than the last five albums! Yes - we ARE on the same page now!,31 minutes ago (edited)
@italinstalion,RiP Chester. The memorial show like 8years ago was awesome.,31 minutes ago
@madjey17,Chester would've loved this for sure ❤❤❤,31 minutes ago
@Marcus-ts8yk,LINKIN PARK is F... Back . What a great Song.. in Germany WE Said Was ein Brett,31 minutes ago
@BluntArrows,"Ah, bit of a random one but this is SO my soundtrack to the entire second Fallen Hero book, especially once things start getting REALLY complicated (and you have only yourself to blame). Bangerrrrrrrr!",31 minutes ago
@Vinnero0,"Yall are killing it, especially Emily! Great Song",32 minutes ago
@lonelyfrikbylokendo67,The video and song have all the chainsaw man vibes,32 minutes ago
@dmitriimedvedev9512,Дмитрий Анатольевич Медведев одобряет 🔥🎉👏🏻👏🏻👏🏻,32 minutes ago (edited)
@alessio6205,Tuttosommato mancavano nel mondo !!! Bentornati linkin park,32 minutes ago
@Kenji_shira,"One step for my head, bom demais",32 minutes ago
@alastor3682,Devastante 😍🔥🧨,32 minutes ago
@patkerk1,Dozens of people need to be jailed for this.,32 minutes ago
@hatecrewLucas,At least some scratching is back ❤,32 minutes ago
@giovannitrovarelli2470,🤟 eimily best .,33 minutes ago
@trevorgordier3938,This ROCKS !!! … love Emily !!,34 minutes ago
@querdurchdenozean6487,Banger,34 minutes ago
@maxz2552,We need a POP Warrior Within remake with this soundtrack,34 minutes ago
@SueAndSarah,WOW JUST WOW 💜,34 minutes ago
@dawidkapaa1122,"looks like guano apes from back in a day, lords of the boards",34 minutes ago
@ruthless66za17,I'm starting to feel like I'm listening to a fly leaf mash up....,34 minutes ago
@Keepupband,Hassss,34 minutes ago
@MushyHandle,"So she defended Danny Masterson at his trial. Says alot about her values.
Don't believe me? Do the research.",34 minutes ago
@bogdanbaubau,Here we go 😊,34 minutes ago
@jamesfirth-haydon7381,Wow. This just ticked all the boxes for me. Love it.,34 minutes ago
@vaniacunha4453,Muito bom,35 minutes ago
@ermakdelmk3177,Algún español escuchando esto,35 minutes ago
@darmaparamarta8513,The suit makes them Linkedin Park,35 minutes ago
@lamarasamuel,🔥🔥🔥🔥🔥🔥🔥 yesss,35 minutes ago
@Travreviews,"Good chorus, otherwise it’s AI generated Linkin Park with a Scientologist",36 minutes ago
@studiopisces88,Emy!!! Ur my soul...Chester is proud of you baby ❤,36 minutes ago
@dawidkapaa1122,🔥🔥🔥🔥,36 minutes ago
@sean27972,I will NEVER forgive spitting on chesters legacy like this for PC garbage.,36 minutes ago
@agustinabecerra1118,😎🖤🖤,36 minutes ago
@PAULOANTIELI,"que venha logo From Zero. Linkin Park ta demais, minha banda de rock favorita desde sempre :person-turqouise-waving::person-turqouise-waving::person-turqouise-waving::person-turqouise-waving::person-turqouise-waving::person-turqouise-waving:",37 minutes ago
@agustinabecerra1118,🤩🤩🤩🔥🔥🔥🔥🔥,37 minutes ago
@LiefLayer,"shut up, this is good",34 minutes ago
@T4NKEVANZ,"sounds like a rework of the figure 09 demo (2002), especially the bridge. its ite tho",37 minutes ago
@Granlhuba,:hands-yellow-heart-red:,37 minutes ago
@theweebsidetv,The song was great but the video was meh for me.,37 minutes ago
@lucasrenner9043,"AEWWWW, PORRA! É ISSO O QUE QUEREMOS! <3",37 minutes ago
@ExtrumComics,The inner awakening of Xenu Park ! !,37 minutes ago
@studiopisces88,Aaaahhhhhh,38 minutes ago
@L.ericke,🎸,38 minutes ago
@fallkem,the best music from linkin park,38 minutes ago
@anacarolina1662,Pica demais 🤘🔥🎸,38 minutes ago
@majaehl1810,I live it it Remonds me of one step closer,38 minutes ago
@trinideg5790,"Après La Défense Arena, j’espère vous voir au HF 🤘",39 minutes ago
@Hbhb01,Lançamentos sem parar🫡,39 minutes ago
@MonoCronic,God damn it... I have a celebrity crush again...,39 minutes ago
@jingler_bob,"Yes love this  one, 🎉",39 minutes ago
@Arnz01,Gross. No..,39 minutes ago
,"It´s like a 2000´s theme but in 2K. The lights, the movements, the rap, etc .Thank You for remind me the old times!!! Time Machine!!",39 minutes ago
@UnwantedArguementz,I wonder what the lyrics is about . Its just a song for many of us ...but there is deeper expression to every song an artist writes ..... I wonder what this could be. Can anyone relate to anything?,40 minutes ago
