Job Title,Company,Location,Kind of Job,Posted On,Job Description
AI Developer,"Commercial Programming Systems, Inc.","Remote or Los Angeles, California, USA",Contract,Posted 5 days ago,"AI Developer Remote work with the possibility of occasional Los Angeles meetings .The durationofthe engagement is at least 12 months. This is a remote position; however, they may have to travel on-site or to other courts or conferences on rare occasions. The person we contract with should be someone we can hire permanently within 12 monthsofthem coming on board. W2 candidates only. Project Overview:The clientis undertaking innovative projects aimed at integrating generative AI and AI-driven docu"
Business Analyst with Gen AI,Whiztek Corp,"Chicago, Illinois, USA","Third Party, Contract",Posted 2 days ago,"Looking for Business Analyst to join our GEN AI project team. The Business Analyst will be a key player in the agile development process, with a strong focus on understanding sprint cycles and crafting well-defined user stories. This role requires a professional who is adept at working cross-functionally with design teams, architecture teams, and front-end developers to drive consensus and facilitate proactive problem-solving. Key Responsibilities: Collaborate with cross-functional teams to defi"
Lead Gen AI Engineer,Maveric NXT Inc,"Irving, Texas, USA",Full-time,Posted 2 days ago,"Job Title - Senior Generative AI Engineer / Lead Location - Irving, TX (On-site / Hybrid) Job Type- Full Time Hands on experience with Python, Streamlit, FastApi Hands on experience in developing neural networks using TensorFlow or Pytorch framework Hands on experience with NLP (NLTK, Spacy, BERT, SBERT models) Hands on experience with vector database (Milvus, FAISS, Pinecone, Vespa etc.,) Good understanding on LLMs, Gen AI, Langchain, transformers Experience working and deploying in cloud envir"
Gen AI Engineer,Accord Innovations Sdn Bhd,Remote,"Contract, Third Party",Posted 1 day ago,"REQUIREMENT:Position: GEN AI Engineer Location: RemoteDuration: 12 Months Job Description : Must to have: 9+ years of experience in machine learning engineering or a related field. Strong understanding of machine learning algorithms and principles. Experience with model evaluation metrics, feedback loops, and optimization techniques. Proficiency in Python and relevant ML libraries (e.g., scikit-learn, TensorFlow, PyTorch). Experience with deploying and monitoring models in production environ"
ML Ops Engineer with Gen AI Exp,Canopy One Solutions Inc,"Dallas, Texas, USA","Third Party, Contract",Posted 6 hours ago,"Greetings from Canopy One Solutions, Hope your day is treating you well! Please glance the requirement & respond me back with your finest consultant Resumes & Contact Details. Project Details: Role:ML Ops Engineer with Gen AI Exp Location:Dallas/TX or NJ locations Duration:6+ months/longterm Type:Contract Interview Criteria: Telephonic + Skype Job Description: Required Skills: Vertex AI, LLM"
Gen AI Architect -- 06 to 12 Months Contract -- Remote,"Lorven Technologies, Inc.",US,"Full-time, Third Party, Contract",Posted 9 hours ago,"Job Title: Gen AI Architect Location: Remote Duration: 06 to 12 Months Contract Job Responsibilities: 10+ years of professional experience in building Machine Learning models & systems. 1+ years of hands-on experience in how LLMs work & Generative AI (LLM) techniques particularly prompt engineering, RAG, and agents. Experience in programming skills in Python, Langchain and SQL is a must. Lead GenAI client engagements and Align the engineering team toward a technical roadmap. Perform business"
Gen AI Engineer,TekisHub Consulting Services,"Austin, Texas, USA","Contract, Third Party",Posted 3 hours ago,"Hi , Hope your doing well, We have an urgent role and below mentioned is the job description. Kindly go through it and revert me back with your consultant latest resumes. Job Title: Gen AI Consultant Location: Austin, TX / Sunnyvale, CA Duration: 6 Months plus Job Description: Client is looking for Gen AI Consultant with strong experience in python. Strong GenAI implementation skills, hands on, knowledge about vector database, RAG, prompt engineering, GenAI evaluation, model fine-tuning et"
Data Scientist ML Gen Ai Engineer,AgreeYa Solutions,"Plano, Texas, USA","Contract, Third Party",Posted 1 day ago,"Title- Data Scientist ML Gen Ai Engineer Location- Plano, TX- Onsite Type- Contract Duration- 18+ Months Job Description- Proven experience as a Machine Learning Engineer/ Data Scientist or similar role, with a focus on generative AI applications. Must have hands on experience working on GenAI models. Ability to write code and identify techniques to use in the RAG architecture to solve for problem at hands. Hands on fine tuning AI models (SBERT, ScaNN, PaLM, ChatGPT, LLM etc.) Strong programming"
Python full stack with Gen AI,Centraprise LLC,"North Carolina, USA",Full-time,Posted 1 hour ago,"Job DescriptionJob DescriptionHi, Hope you are doing well, Job role : Python full stack with Gen AI Location : Charlotte, NC/ Jersey City, NJ - Onsite and Hybrid Job type : Contract Job description : Key Responsibilities:** - Design, develop, and maintain scalable applications using Python, Strong experience in Gen AI (NLP and LLM) - Expert in scripting experience like Unix, Shell, Bash - Familiarity with CI/CD pipelines and DevOps practices. - Develop and integrate APIs and third-party servi"
Data Scientist (Gen AI),Calabitek,"Plano, Texas, USA",Full-time,Posted 13 hours ago,"Job DescriptionJob DescriptionJob Description: BA or MA in Computer Science, Mathematics, Statistics, or related field, Ph.D. advantage Experience in machine learning Or Generative AI. Hands-on experience with creating and deploying machine learning models in production environments, with a track record of successful implementation. Proficiency in Python including experience with Data Science frameworks such us: NumPy, Pandas, Scikit-Learn, XGBoost, Keras, Tensorflow, PyTorch Demonstrated ex"
Senior Gen AI Developer (Onsite),Cognizant,"Houston, Texas, USA",Full-time,Posted 5 days ago,"GenAI Developer Experience Range - 10+ Years Location : Houston , TX Essential Job Functions & Responsibilities GenAI Application Development: Design, develop, and deploy cutting-edge GenAI applications, such as conversational chatbots, that provide exceptional user experiences. Proof of Concept to Production: Collaborate with cross-functional teams taking existing proof of concepts to production. Hands-On Development: Write clean, efficient, and maintainable code primarily using python and obj"
Senior Gen AI Developer (Onsite),Cognizant,"Houston, Texas, USA",Full-time,Posted 11 days ago,"GenAI Developer Experience Range - 10+ Years Location : Houston , TX Essential Job Functions & Responsibilities GenAI Application Development: Design, develop, and deploy cutting-edge GenAI applications, such as conversational chatbots, that provide exceptional user experiences. Proof of Concept to Production: Collaborate with cross-functional teams taking existing proof of concepts to production. Hands-On Development: Write clean, efficient, and maintainable code primarily using python and obj"
Gen AI Developer and Architect,Meraki IT Solutions,"Dallas, Texas, USA","Contract, Third Party",Posted 8 days ago,"Looking for Gen AI Developer and Architect location : NJ and TX (Hybrid) Client : Verizon must have skills : open AI, Llama, Hugging face, Lang Chain Etc.. Mahesh Goud | Sr IT Recruiter Mobile: Email:"
Senior Gen AI Developer (Onsite),Cognizant,"Houston, Texas, USA",Full-time,Posted 10 days ago,"GenAI Developer Experience Range - 10+ Years Location : Houston , TX Essential Job Functions & Responsibilities GenAI Application Development: Design, develop, and deploy cutting-edge GenAI applications, such as conversational chatbots, that provide exceptional user experiences. Proof of Concept to Production: Collaborate with cross-functional teams taking existing proof of concepts to production. Hands-On Development: Write clean, efficient, and maintainable code primarily using python and obj"
SENIOR GEN AI DEVELOPER (ONSITE),Cognizant,"Texas, USA",Full-time,Posted 2 hours ago,"GenAI Developer Experience Range ? 10+ Years Location : Houston , TX Essential Job Functions & Responsibilities GenAI Application Development: Design, develop, and deploy cutting-edge GenAI applications, such as conversational chatbots, that provide exceptional user experiences. Proof of Concept to Production: Collaborate with cross-functional teams taking existing proof of concepts to production. Hands-On Development: Write clean, efficient, and maintainable code primarily using python an"
Gen AI SOftware Developer,"Digipulse Technologies, Inc","Jersey City, New Jersey, USA",Contract,Posted 1 day ago,"Qualifications: Bachelor's degree in Computer Science, Engineering, or a related field.Proven experience in software development, with a strong foundation in programming languages such as Python, Java, or C++.Demonstrated expertise in emerging technologies such as GenAI, artificial intelligence etc.Experience applying emerging technologies to solve complex business problems and drive innovation.Strong analytical and problem-solving skills, with the ability to think creatively and strategically.E"
Gen AI developer,Proxim Systems,"Woodlawn, Maryland, USA",Full-time,Posted 60+ days ago,Not available
Not available,Not available,Not available,Not specified,Not available,Not available
Not available,Not available,Not available,Not specified,Not available,Not available
Not available,Not available,Not available,Not specified,Not available,Not available
AI Developer,"Commercial Programming Systems, Inc.","Remote or Los Angeles, California, USA",Contract,Posted 5 days ago,"AI Developer Remote work with the possibility of occasional Los Angeles meetings .The durationofthe engagement is at least 12 months. This is a remote position; however, they may have to travel on-site or to other courts or conferences on rare occasions. The person we contract with should be someone we can hire permanently within 12 monthsofthem coming on board. W2 candidates only. Project Overview:The clientis undertaking innovative projects aimed at integrating generative AI and AI-driven docu"
Not available,Not available,Not available,Not specified,Not available,Not available
Not available,Not available,Not available,Not specified,Not available,Not available
Gen AI Engineer,Accord Innovations Sdn Bhd,Remote,"Contract, Third Party",Posted 1 day ago,"REQUIREMENT:Position: GEN AI Engineer Location: RemoteDuration: 12 Months Job Description : Must to have: 9+ years of experience in machine learning engineering or a related field. Strong understanding of machine learning algorithms and principles. Experience with model evaluation metrics, feedback loops, and optimization techniques. Proficiency in Python and relevant ML libraries (e.g., scikit-learn, TensorFlow, PyTorch). Experience with deploying and monitoring models in production environ"
Not available,Not available,Not available,Not specified,Not available,Not available
Not available,Not available,Not available,Not specified,Not available,Not available
Not available,Not available,Not available,Not specified,Not available,Not available
Not available,Not available,Not available,Not specified,Not available,Not available
Not available,Not available,Not available,Not specified,Not available,Not available
Not available,Not available,Not available,Not specified,Not available,Not available
Full-Stack Application Gen AI Architect,Epikso,Remote or US,Third Party,Posted 10 hours ago,"Job Duties Design, develop, and maintain consumer-facing multimodal AI applications, ensuring a seamless integration between font-end and back-end systems Develop and maintain server-side logic, databases, and APIs Design and optimize database schemas, ensuring data integrity and security Write unit and integration tests to ensure the quality and functionality of the applications Participate in code reviews Technical documentation Stay updated with latest industry trends and technologies and app"
Salesforce BA with Gen AI,Galactic Minds Inc.,"Remote or Illinois, USA","Contract, Third Party",Posted 4 hours ago,"Job Title: Salesforce BA with Gen AI Location: Chicago, IL (Local preferred. Open for remote profiles from EST/CST locations need to work in CST) Duration: Long Term Job Description: GenAI Business Analyst/Business System Analyst who has good communication and good hands-on exposure in Salesforce Service Cloud. Past experience / current project working as a BA in a GenAI project. Either integration or executing strategic planning for GenAI / AI initiatives. hands-on exposure in Salesforce Ser"
AI Developer,"Commercial Programming Systems, Inc.","Remote or Los Angeles, California, USA",Contract,Posted 5 days ago,"AI Developer Remote work with the possibility of occasional Los Angeles meetings .The durationofthe engagement is at least 12 months. This is a remote position; however, they may have to travel on-site or to other courts or conferences on rare occasions. The person we contract with should be someone we can hire permanently within 12 monthsofthem coming on board. W2 candidates only. Project Overview:The clientis undertaking innovative projects aimed at integrating generative AI and AI-driven docu"
"AI Trainer, SOQL Developer",Alignerr,"Brockton, Massachusetts, USA",Full-time,Posted 40 days ago,Alignerr.com is a community of subject matter experts from several disciplines who align AI models by creating high-quality data in their field of expertise to build the future of Generative AI. Alignerr is operated by Labelbox. Labelbox is the leading data-centric AI platform for building intelligent applications. Teams looking to capitalize on the latest advances in generative AI and LLMs use the Labelbox platform to inject these systems with the right degree of human supervision and automatio
"AI Trainer, SOQL Developer",Alignerr,"Quincy, Massachusetts, USA",Full-time,Posted 40 days ago,Alignerr.com is a community of subject matter experts from several disciplines who align AI models by creating high-quality data in their field of expertise to build the future of Generative AI. Alignerr is operated by Labelbox. Labelbox is the leading data-centric AI platform for building intelligent applications. Teams looking to capitalize on the latest advances in generative AI and LLMs use the Labelbox platform to inject these systems with the right degree of human supervision and automatio
"Gen AI Engineer - Bedrock, Sagemaker (13+ exp)",Turing IT Labs,Remote,Contract,Posted 2 days ago,"Role: AI ML Engineering Location: Remote Duration: Long Term Job Description: Job Responsibilities Model Development: Design, develop, and implement machine learning models to address business challenges. Model Evaluation and Optimization: Evaluate model performance, fine-tune parameters, and optimize models for accuracy and efficiency. Production Deployment: Deploy models into production environments, ensuring scalability, reliability, and maintainability. Text2SQL AI Orchestration: Develop an"
"AI Trainer, COBOL Developer",Alignerr,"Brockton, Massachusetts, USA",Full-time,Posted 40 days ago,Alignerr.com is a community of subject matter experts from several disciplines who align AI models by creating high-quality data in their field of expertise to build the future of Generative AI. Alignerr is operated by Labelbox. Labelbox is the leading data-centric AI platform for building intelligent applications. Teams looking to capitalize on the latest advances in generative AI and LLMs use the Labelbox platform to inject these systems with the right degree of human supervision and automatio
"AI Trainer, SOQL Developer",Alignerr,"Cambridge, Massachusetts, USA",Full-time,Posted 40 days ago,Alignerr.com is a community of subject matter experts from several disciplines who align AI models by creating high-quality data in their field of expertise to build the future of Generative AI. Alignerr is operated by Labelbox. Labelbox is the leading data-centric AI platform for building intelligent applications. Teams looking to capitalize on the latest advances in generative AI and LLMs use the Labelbox platform to inject these systems with the right degree of human supervision and automatio
"AI Trainer, COBOL Developer",Alignerr,"Quincy, Massachusetts, USA",Full-time,Posted 40 days ago,Alignerr.com is a community of subject matter experts from several disciplines who align AI models by creating high-quality data in their field of expertise to build the future of Generative AI. Alignerr is operated by Labelbox. Labelbox is the leading data-centric AI platform for building intelligent applications. Teams looking to capitalize on the latest advances in generative AI and LLMs use the Labelbox platform to inject these systems with the right degree of human supervision and automatio
"AI Trainer, SOQL Developer",Alignerr,"Boston, Massachusetts, USA",Full-time,Posted 40 days ago,Alignerr.com is a community of subject matter experts from several disciplines who align AI models by creating high-quality data in their field of expertise to build the future of Generative AI. Alignerr is operated by Labelbox. Labelbox is the leading data-centric AI platform for building intelligent applications. Teams looking to capitalize on the latest advances in generative AI and LLMs use the Labelbox platform to inject these systems with the right degree of human supervision and automatio
"AI Trainer, COBOL Developer",Alignerr,"Cambridge, Massachusetts, USA",Full-time,Posted 40 days ago,Alignerr.com is a community of subject matter experts from several disciplines who align AI models by creating high-quality data in their field of expertise to build the future of Generative AI. Alignerr is operated by Labelbox. Labelbox is the leading data-centric AI platform for building intelligent applications. Teams looking to capitalize on the latest advances in generative AI and LLMs use the Labelbox platform to inject these systems with the right degree of human supervision and automatio
"AI Trainer, COBOL Developer",Alignerr,"Boston, Massachusetts, USA",Full-time,Posted 40 days ago,Alignerr.com is a community of subject matter experts from several disciplines who align AI models by creating high-quality data in their field of expertise to build the future of Generative AI. Alignerr is operated by Labelbox. Labelbox is the leading data-centric AI platform for building intelligent applications. Teams looking to capitalize on the latest advances in generative AI and LLMs use the Labelbox platform to inject these systems with the right degree of human supervision and automatio
Gen AI Engineer,Accord Innovations Sdn Bhd,Remote,"Contract, Third Party",Posted 1 day ago,"REQUIREMENT:Position: GEN AI Engineer Location: RemoteDuration: 12 Months Job Description : Must to have: 9+ years of experience in machine learning engineering or a related field. Strong understanding of machine learning algorithms and principles. Experience with model evaluation metrics, feedback loops, and optimization techniques. Proficiency in Python and relevant ML libraries (e.g., scikit-learn, TensorFlow, PyTorch). Experience with deploying and monitoring models in production environ"
Gen AI Architect,"Sincera Technologies, Inc.",Remote,"Full-time, Third Party",Posted 13 days ago,"Job Summary: We are seeking an experienced AI Architect with extensive hands-on experience in Machine Learning (ML), Natural Language Processing (NLP), and Generative AI (Gen AI). This role requires deep knowledge of AI technologies, particularly in both Azure and AWS environments. The AI Architect will be responsible for evaluating solution approaches and AI models to drive innovation and success within the organization. Key Responsibilities: Design and develop scalable AI solutions, leveragin"
Gen AI Architect,Savvyan Technologies,Remote,Contract,Posted 33 days ago,"We are looking for a Generative AI Enterprise Architect, please check the below job description and kindly share your response to proceed further. A Generative AI Enterprise Architect is a specialized role within an organization that focuses on designing and implementing generative artificial intelligence solutions to solve complex business challenges. This role requires a deep understanding of AI technologies, business processes, and a strategic mindset to align AI initiatives with the organiza"
GEN AI Expert - AI Engineer With ML and AWS,Turing IT Labs,Remote,"Contract, Third Party",Posted 5 days ago,"Hi, Job Title: GEN AI Expert - AI Engineer With ML and AWS Location: Remote Duration: 12+ Contract Job Description: Must have: 9+ years of experience in machine learning engineering or a related field.Strong understanding of machine learning algorithms and principles.Experience with model evaluation metrics, feedback loops, and optimization techniques.Proficiency in Python and relevant ML libraries (e.g., scikit-learn, TensorFlow, PyTorch).Experience with deploying and monitoring models in produ"
Gen AI Lead/Architect,Xoriant Corporation,Remote,Contract,Posted 60+ days ago,"Title: Gen AI Lead/Architect Duration: 12+ Months (Possible Extensions-Long Term Project) Location: 100% Remote Job Description: Individual will be responsible for overseeing a team of data scientists and driving data-driven decision-making within the organizationKey Responsibilities: This role will involve developing, implementing, and managing advanced analytics and machine learning models to extract insights and create predictive solutions.Individual will be responsible for mentoring and gui"
Gen AI Architect,"Svam International, Inc.",Remote,Contract,Posted 60+ days ago,"Individual will be responsible for overseeing a team of data scientists and driving data-driven decision-making within the organization.Key Responsibilities: This role will involve developing, implementing, and managing advanced analytics and machine learning models to extract insights and create predictive solutions.Individual will be responsible for mentoring and guiding junior data scientists, providing technical leadership, and contributing to the overall data science strategy of the company"
GEN AI Product Owner,Vega Consulting Solutions,"Remote or Reston, Virginia, USA","Contract, Third Party",Posted 21 days ago,"Only candidates eligible for direct Perm employment will be considered for this role Candidates will be required to support East Coast work hours. Candidates must be located in PA, MD, DC, VA or WVA. Vega Consulting Solutions, Inc. is hiring a Product Owner for a 12 month contract to hire job opportunity. Seeking candidates that are eligible for direct perm employment for our direct client. Job Requirements: The Product Owner will drive value to the business by building, managing, and maintaini"
Gen AI Full Stack Engineer,BAMM,Remote,Full-time,Posted 29 days ago,"We are seeking a highly skilled Full Stack Engineer with a keen eye for UI/UX design to take a leading role in developing next-generation Generative AI (GenAI) chatbots. This role is at the intersection of intuitive user interface design and robust backend architecture, aimed at crafting engaging and innovative conversational AI experiences. As a key member of our interdisciplinary team, which includes Product Managers, UX Designers, Data Scientists, and Machine Learning Engineers, you will play"
Full-Stack Application Gen AI Architect,Epikso,Remote or US,Third Party,Posted 10 hours ago,"Job Duties Design, develop, and maintain consumer-facing multimodal AI applications, ensuring a seamless integration between font-end and back-end systems Develop and maintain server-side logic, databases, and APIs Design and optimize database schemas, ensuring data integrity and security Write unit and integration tests to ensure the quality and functionality of the applications Participate in code reviews Technical documentation Stay updated with latest industry trends and technologies and app"
Salesforce BA with Gen AI,Galactic Minds Inc.,"Remote or Illinois, USA","Contract, Third Party",Posted 4 hours ago,"Job Title: Salesforce BA with Gen AI Location: Chicago, IL (Local preferred. Open for remote profiles from EST/CST locations need to work in CST) Duration: Long Term Job Description: GenAI Business Analyst/Business System Analyst who has good communication and good hands-on exposure in Salesforce Service Cloud. Past experience / current project working as a BA in a GenAI project. Either integration or executing strategic planning for GenAI / AI initiatives. hands-on exposure in Salesforce Ser"
AI Developer,"Commercial Programming Systems, Inc.","Remote or Los Angeles, California, USA",Contract,Posted 5 days ago,"AI Developer Remote work with the possibility of occasional Los Angeles meetings .The durationofthe engagement is at least 12 months. This is a remote position; however, they may have to travel on-site or to other courts or conferences on rare occasions. The person we contract with should be someone we can hire permanently within 12 monthsofthem coming on board. W2 candidates only. Project Overview:The clientis undertaking innovative projects aimed at integrating generative AI and AI-driven docu"
"AI Trainer, SOQL Developer",Alignerr,"Brockton, Massachusetts, USA",Full-time,Posted 40 days ago,Alignerr.com is a community of subject matter experts from several disciplines who align AI models by creating high-quality data in their field of expertise to build the future of Generative AI. Alignerr is operated by Labelbox. Labelbox is the leading data-centric AI platform for building intelligent applications. Teams looking to capitalize on the latest advances in generative AI and LLMs use the Labelbox platform to inject these systems with the right degree of human supervision and automatio
"AI Trainer, SOQL Developer",Alignerr,"Quincy, Massachusetts, USA",Full-time,Posted 40 days ago,Alignerr.com is a community of subject matter experts from several disciplines who align AI models by creating high-quality data in their field of expertise to build the future of Generative AI. Alignerr is operated by Labelbox. Labelbox is the leading data-centric AI platform for building intelligent applications. Teams looking to capitalize on the latest advances in generative AI and LLMs use the Labelbox platform to inject these systems with the right degree of human supervision and automatio
"Gen AI Engineer - Bedrock, Sagemaker (13+ exp)",Turing IT Labs,Remote,Contract,Posted 2 days ago,"Role: AI ML Engineering Location: Remote Duration: Long Term Job Description: Job Responsibilities Model Development: Design, develop, and implement machine learning models to address business challenges. Model Evaluation and Optimization: Evaluate model performance, fine-tune parameters, and optimize models for accuracy and efficiency. Production Deployment: Deploy models into production environments, ensuring scalability, reliability, and maintainability. Text2SQL AI Orchestration: Develop an"
"AI Trainer, COBOL Developer",Alignerr,"Brockton, Massachusetts, USA",Full-time,Posted 40 days ago,Alignerr.com is a community of subject matter experts from several disciplines who align AI models by creating high-quality data in their field of expertise to build the future of Generative AI. Alignerr is operated by Labelbox. Labelbox is the leading data-centric AI platform for building intelligent applications. Teams looking to capitalize on the latest advances in generative AI and LLMs use the Labelbox platform to inject these systems with the right degree of human supervision and automatio
"AI Trainer, SOQL Developer",Alignerr,"Cambridge, Massachusetts, USA",Full-time,Posted 40 days ago,Alignerr.com is a community of subject matter experts from several disciplines who align AI models by creating high-quality data in their field of expertise to build the future of Generative AI. Alignerr is operated by Labelbox. Labelbox is the leading data-centric AI platform for building intelligent applications. Teams looking to capitalize on the latest advances in generative AI and LLMs use the Labelbox platform to inject these systems with the right degree of human supervision and automatio
"AI Trainer, COBOL Developer",Alignerr,"Quincy, Massachusetts, USA",Full-time,Posted 40 days ago,Alignerr.com is a community of subject matter experts from several disciplines who align AI models by creating high-quality data in their field of expertise to build the future of Generative AI. Alignerr is operated by Labelbox. Labelbox is the leading data-centric AI platform for building intelligent applications. Teams looking to capitalize on the latest advances in generative AI and LLMs use the Labelbox platform to inject these systems with the right degree of human supervision and automatio
"AI Trainer, SOQL Developer",Alignerr,"Boston, Massachusetts, USA",Full-time,Posted 40 days ago,Alignerr.com is a community of subject matter experts from several disciplines who align AI models by creating high-quality data in their field of expertise to build the future of Generative AI. Alignerr is operated by Labelbox. Labelbox is the leading data-centric AI platform for building intelligent applications. Teams looking to capitalize on the latest advances in generative AI and LLMs use the Labelbox platform to inject these systems with the right degree of human supervision and automatio
Gen AI Engineer,Accord Innovations Sdn Bhd,Remote,"Contract, Third Party",Posted 1 day ago,"REQUIREMENT:Position: GEN AI Engineer Location: RemoteDuration: 12 Months Job Description : Must to have: 9+ years of experience in machine learning engineering or a related field. Strong understanding of machine learning algorithms and principles. Experience with model evaluation metrics, feedback loops, and optimization techniques. Proficiency in Python and relevant ML libraries (e.g., scikit-learn, TensorFlow, PyTorch). Experience with deploying and monitoring models in production environ"
"AI Trainer, COBOL Developer",Alignerr,"Cambridge, Massachusetts, USA",Full-time,Posted 40 days ago,Alignerr.com is a community of subject matter experts from several disciplines who align AI models by creating high-quality data in their field of expertise to build the future of Generative AI. Alignerr is operated by Labelbox. Labelbox is the leading data-centric AI platform for building intelligent applications. Teams looking to capitalize on the latest advances in generative AI and LLMs use the Labelbox platform to inject these systems with the right degree of human supervision and automatio
"AI Trainer, COBOL Developer",Alignerr,"Boston, Massachusetts, USA",Full-time,Posted 40 days ago,Alignerr.com is a community of subject matter experts from several disciplines who align AI models by creating high-quality data in their field of expertise to build the future of Generative AI. Alignerr is operated by Labelbox. Labelbox is the leading data-centric AI platform for building intelligent applications. Teams looking to capitalize on the latest advances in generative AI and LLMs use the Labelbox platform to inject these systems with the right degree of human supervision and automatio
Gen AI Architect,"Sincera Technologies, Inc.",Remote,"Full-time, Third Party",Posted 13 days ago,"Job Summary: We are seeking an experienced AI Architect with extensive hands-on experience in Machine Learning (ML), Natural Language Processing (NLP), and Generative AI (Gen AI). This role requires deep knowledge of AI technologies, particularly in both Azure and AWS environments. The AI Architect will be responsible for evaluating solution approaches and AI models to drive innovation and success within the organization. Key Responsibilities: Design and develop scalable AI solutions, leveragin"
Gen AI Architect,Savvyan Technologies,Remote,Contract,Posted 33 days ago,"We are looking for a Generative AI Enterprise Architect, please check the below job description and kindly share your response to proceed further. A Generative AI Enterprise Architect is a specialized role within an organization that focuses on designing and implementing generative artificial intelligence solutions to solve complex business challenges. This role requires a deep understanding of AI technologies, business processes, and a strategic mindset to align AI initiatives with the organiza"
GEN AI Expert - AI Engineer With ML and AWS,Turing IT Labs,Remote,"Contract, Third Party",Posted 5 days ago,"Hi, Job Title: GEN AI Expert - AI Engineer With ML and AWS Location: Remote Duration: 12+ Contract Job Description: Must have: 9+ years of experience in machine learning engineering or a related field.Strong understanding of machine learning algorithms and principles.Experience with model evaluation metrics, feedback loops, and optimization techniques.Proficiency in Python and relevant ML libraries (e.g., scikit-learn, TensorFlow, PyTorch).Experience with deploying and monitoring models in produ"
