Author,Comment,Time
@juniorcoqueiro,Mr. Hahn das antigas mlk!!!!,3 hours ago
@mightyminx6653,"This is a let down. If you cant write new material ... Hang it up ... This is ""one step closer and crawling"" mixed into one. No thats not a good thing. They are stepping on what was Cjesters legacy. Plus theres no way im supporting anyone that had stood behind Danny Masters. I cant believe everyone just turns their head to that fact.. So she supports the R word...",3 hours ago
@HayatotheSkyGamer,"So much Meteora vibes !
Scratching is back for the best. True revival",3 hours ago (edited)
@Hussenhussy,From one step to next step closer ❤,3 hours ago
@4GAMERZE,I like some of the new stuff. As a die hard LP Fan from the beginning I'm even ok with her version of some of the older stuff... However this seems forced. Just screaming isn't chester. This song is filler at best.🎉,3 hours ago (edited)
@hellbobikhorde3239,"ч эт за клоунада? блять. я всё могу понять, но делать из себя блудхаунд или гуано на старости? серьёзно?",3 hours ago
@VwMikc,"🤘.
You are on 🔥.",3 hours ago
@joseguedezviolinist6172,Loved that “we are in the same page”! Of course we are in the same page! Bravo guys! We love you are going back! Emily Bravo! ♥️💪🏾,3 hours ago
@NOORHASAN-e9i,"You explained this so well, thank you!",3 hours ago
@ilikedogs1587,I miss Chester 😒,3 hours ago
@qqbre,Brainwashing right now good one... Like back to the roots but bit better 👌👌👌👌👌👌👌👌👌👌,3 hours ago
@Ijenkhutrtr,"This video was amazing, learned a lot.",3 hours ago
@sunsseth,wow its good,3 hours ago
@paganamengana,Me fascinaaaaaaa ❤,3 hours ago
@yanisbethmojicagalvez5583,👌👌👌👌👌👌✨,3 hours ago
@renukakavin9349,"Very well done, appreciate this video!",3 hours ago
@Liberal-Voice-101,Shes trying hard and shes not bad .... but her voice just doesnt connect at all ... Linkin Park is now just an average rock band .... thats sad,3 hours ago
@anonim86s,One Step From my Head,3 hours ago
@leycs4023,"De volta as raízes Linkin Park, precisamos demais disso pois a musica nao é mais a mesma",3 hours ago
@oweno.caranoo6582,Wow --,3 hours ago
@RameezHasan1,THAZ WAT IRRRRRRRIIIIZZZZZZZZZ  YEAH BABY,3 hours ago
@tejalshahu833,Great video! Really enjoyed it.,3 hours ago
@tvirus1990,This is Linkin Park,3 hours ago
@djkcd,Who’s here in 2025 listening to this! 🎉,3 hours ago
@dav1711xz,Naaaaa next level,3 hours ago
@Sethkify,"You're following in incredibly big shoes, and your foot fits in them <3",3 hours ago
@AbarnaMuthumunusamy,"Thank you for this video, very enlightening!",3 hours ago
@dominikb8430,That sick ending should have been longer.,3 hours ago
@Leiderg,"Well it took 17 years and Chester's tragic passing (I will never recover from), but at least we finally got LP back. And yes I'm counting from Minutes to Midnight since everything else, except maybe Hunting party and a couple singles, was utter garbage.",3 hours ago (edited)
@Brand_of_the_hawk,Chorus is as butt rock as it gets everything else is pretty sick tho even tho they just rehashed one step closer for the bridge,3 hours ago
@ChristianStitz,❤❤ Gruß an Mike,3 hours ago (edited)
@brunopadilla06,Nunca le llegarás ni a los talones a Chester,3 hours ago
@DennisIssenguel,"Thank you Mike Shinoda, you're the Mastermind behind the cene to don't allow Link Park finish.
Young lady, continue the legacy, you doing a very well job, Chester is proud.",3 hours ago (edited)
@imyourmotherhaha,chester would be proud,3 hours ago
@Rickzilla,Chester would be proud. Emily has vocals on her.,3 hours ago
@PSYCHOxFROST,She sounds so good,3 hours ago
@maciejzalewski7596,Ten zespół nigdy nie był niczym szczególnym,3 hours ago
@steverichman4962,Wtf is this?,3 hours ago
@HiimAbyss,"This is the third song of the With You / By Myself  trilogy.
24 years later.",3 hours ago
@ilyanazarov9141,"Daaaamn, this is the good old LP, like in the days of the hydride theory",3 hours ago
@ThePredsedatel,"@0.11 keys very silimar to Numb(sound
)",3 hours ago
@Black25284,"Shes not the best but alright,

Two faced Is a okay nu metal song.

I am not a linken park fan BTW",3 hours ago
@RAJATSINGH-gl3cg,What a time to be alive. All this prayers and hope left in the air came to be real! Please go see them live! ❤ Thankyou em.,3 hours ago
@marcos_driving,Now THIS is a song to mosh to,3 hours ago
@ClairePimchan,It's so fxcking crazy guy's ! Thank youuuu !,3 hours ago
@bryanramos2231,Linkin Park was already missing,3 hours ago
@zairasantamaria3349,Guys... Are you applying for a job? 'Cause you were hired since you came back!!!,3 hours ago
@Vengeance-006,Amazing absolutely outstanding great work,3 hours ago
@codyallencrump7850,Shits gay,3 hours ago
@faiyajkhatib7544,"Great job, this video was very useful!",3 hours ago
@user-pdogiP78V,three days grace - painkiller?,3 hours ago
@АлишерДюсупов-ш4ь,"Emily is not a replacement for Chester, but his heir",1 hour ago
@mkingproductions7434,I don’t think Chester liked mike bro lol,1 hour ago
@user-pdogiP78V,fr fr,3 hours ago
@Vova-v5h,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,3 hours ago
@OliviaBAMFDunham,"This is gonna be one of the very best LP albums, this song proves it!",3 hours ago
@braddennis5442,"Yes, yes, yes, yes, yes!!!!!!!!!",3 hours ago
@taylormarshall3982,removes every comment they dont like lmaoo,3 hours ago
@Le_Croustillant,Frissons…,3 hours ago
@harun9063,It just doesn't feel right.,3 hours ago
@gumlguml,Limp Bizkit Vibes!,4 hours ago
@luckysujarwo-nf6jj,The real linkin park song is back,4 hours ago
@pedrosanu,Me like it,4 hours ago
@arkadiusz8452,u're awesome 🤯🤯🤯,4 hours ago
@jonathanolivera1563,"Dios mio, me conectaron nuevamente a los 2000, esto es increible los amo LP <3",4 hours ago
@thecrow6915,Legendary,4 hours ago
@svenpapenfu2740,Give me more !!!!,4 hours ago
@batrv5930,This song brings me one step closer to think this is the best comeback in music History.,4 hours ago
@mosiextremlity,Will they soon choose a singer who doesn't have to try beyond limits? Please don't copy Chester young lady if you can't!,4 hours ago
@amitsuryawanshi-d4k,"Awesome video, looking forward to the next one!",4 hours ago
@monicacardenas8706,Increíble amooo a Linkin park ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,4 hours ago
@joshcoro5260,I was skeptical of her at first but she is definitely growing on me,4 hours ago
@khairuldzafran2320,“That’s what it is?”…. Hahaha i love it 😂🔥❤️,4 hours ago
@mandalorian48,"..Suited & Re-booted.  
F### yeah.  Welcome back.
🤘😎",4 hours ago (edited)
@harrymc523,I love that it's been 20 years and no one else has captured this energy. This makes 12 year old me very happy 🎉,4 hours ago
@РостикВолошин-я9к,"Your songs do not let me die in the war, a warm kiss to you from Ukraine",4 hours ago
@JammOStyles,Linkin Park vs. Guano Apes,4 hours ago
@subty3030,simplemente wow... recuerdos de los buenos años :),4 hours ago
@jamessweitzer2418,I was skeptical about them moving on without Chester but I absolutely love this new music she is killer,4 hours ago
@fabiobarros8807,Aaaaaaaaaaaaah!!!!!!!!!!!,4 hours ago
@aaronfeyh4502,"I was concerned when i saw linkin park trying to make a comeback after losing Chester, but I am honestly so impressed with everything they have done! 

I think he would be proud of where yall have taken this.",4 hours ago
@quorrexnoway9127,I knew about Emily and Colin..... but when did Snape join?,4 hours ago
@marsha4253,Ngl i fw this,4 hours ago
@snowdjagha,This is only lacking some fish lens.,4 hours ago
@AnatoliYozov,"Linkin Park with Emily Armstrong so far:
The emptines machine - 🤨
Heavy is the crown - 🧢
Over each other - 😒
Two faced - 🤌",4 hours ago
@CarlosAndresGambasicaRamirez,"Gracias por volver 🫶🏼🤘🏼 
EM, mereces ser la vocalista de la banda 🖤🤘🏼",4 hours ago
@alexmak2909,LP❤❤❤❤❤🎉🎉❤❤❤🎉🎉🎉,4 hours ago
@Samtyo_Bazza,"And now,
you've become a part of me
You'll always be right here
You've become a part of me
You'll always be my fear
I can't separate myself from what I've done
Giving up a part of me
I've let myself become you",4 hours ago
@TheRmaster86,Damn its good.,4 hours ago
@azarias37,⚡⚡⚡⚡⚡⚡⚡,4 hours ago
@cr1ticaL-,cheap lyrics,4 hours ago
@xpapakahn94,is it just me or is her part way too repetitive,4 hours ago
@lucasteixeira8704,"Prefiro o linkin park antigo,mas esse som lembrou muito o estilo do linkin park nos anos 2000!",4 hours ago
@patrickrobinson5806,I'm happy to still hear Mike rap,4 hours ago
@azarias37,This song is dedicated to Mike; she will only be performing the chorus.,4 hours ago
@chrisEdsv,"Like  old times,  Amazing job guys Linking Park is back!!!!",4 hours ago
@DevilFan669,It makes me missed Chester Bennington every time I see him without being in the group of linkin park he is so missed too man,4 hours ago
@GrenadeInMyHead,Can't wait for AI cover with Chester's voice! Sick song,4 hours ago
@shaikhayyub9554,"Fantastic explanation, thank you!",4 hours ago
@Max_bond009,One step closer 2.0 ),4 hours ago
@TIUYMioou,This is the band's greatest comeback to date. Chester must have been proud.,4 hours ago
@anabonano9211,seeeeee! hermoso :)),4 hours ago
@emmanuelbazimya2057,Am I the only one who thinks this song about Trump and his MAGA fans,4 hours ago
@Ragnar-Christopherson,"Ok song but i think heavy is the crown is the song from the new album .
Its an absolut masterpiece.",4 hours ago
@halacska85able,Classic Linkin Park! I love it!,4 hours ago
@АлександрБор-п5и,"Bred Delson Riff 🔥🔥🔥🔥

the video is crap. 
the lyrics sound crap
what is the soloist for? A girl-chorus?",4 hours ago (edited)
@iliailiev5697,Blue Stahli-Ultranumb maybe this style,4 hours ago
@monicaantonio1971,"ahahahahahaha!!!!
WTF!!! ya quiero disfrutar el 31 de enero en México!!!!",4 hours ago
@GiovanniAlexanderAlegriaLópez,"nooo porquee broo. linkin ya no es lo mismo, aunque la cancion esta buena sin chester las canciones no son lo mismo",4 hours ago
@nicolapellacani4196,What’s up with the Micheal Jackson moves?! Awesome Emily haha,4 hours ago
@MatthewKlukowski-jo9ss,Taking me back to 2001/2003 linkin park 🎉,4 hours ago
@JorgePerez-g2t,"Very well done, appreciate this video!",4 hours ago
@edaxstultus,Guano Apes,4 hours ago
@iliailiev5697,Not hard style this song.Miss power.,4 hours ago
@wizzmhmdy6104,my man mike shinoda 🔥💯,4 hours ago
@SoeinDoay,Emptiness Machine = Living Things Heavy is the Crown = Meteora Over Each Other = One More Light Two Faced = Hybrid Theory,4 hours ago
@Creed5.56,"The video looks like it was shot on the same stage they played the comeback stream on, so they probably did it quick. And the whole song is awesome idk what you’re smoking lmao",4 hours ago
@peacefulhowlscorgis,I miss Chester I want to be happy for them but im hearing so meany bad things about this female singer that its hard to get behind it. and also hearing  that the band broke a promise to cheaters family. I probably won't keep supporting linkin  park anymore not because any malicious way just to much of a fan of the og band I really do hope they do start booming again.,4 hours ago
@AllisonGislason,"This was very informative, appreciate it.",4 hours ago
@willspeakman2461,It amazing that Linkin Park has been getting worse and worse with more experience. Very bland and basic writing. The type of stuff you would expect from a teenagers first punk band not a multiple decade experienced writer.,4 hours ago
@andreavegro,Grazie per questa bellissima canzone❤❤❤❤,4 hours ago
@schaulr,Good but for me no longer a linking park my opinion,4 hours ago
,2000's always!,4 hours ago
@HornyBadger69,I started to write cover for kids of this song. It will be called Toothpaste! Real banger,4 hours ago
@ricky35221,"Essa música me lembra muito a pegada de Figure 09. E a Emily me lembra muito um Kurt Cobain do Nu Metal 😅. Essa nova fase está fantástica, a melhor desde Meteora, na minha opinião.",4 hours ago
@Jlecuk,"RIP Linkin park

I see a zombie who try act like that guy who you remember. Like he is ok. Like nothing is changed.",4 hours ago
@davidhrncir7673,"Fantastic video, really appreciate your effort!",4 hours ago
@BrennanBoyer-r4s,Guys i think she put her screaming pants on,4 hours ago
@SortOrthopedic,"This was very informative, appreciate it.",4 hours ago
@CallieHuff-j4v,"This was very informative, appreciate it.",4 hours ago
@JeffreyPulumbarit,Goodness this is killing me! I’m loving these new songs with the same spirit of the old songs! Emily is killing it,4 hours ago
@gabrielmolina8991,I feel like the Willem Dafoe meme looking up scared,4 hours ago
@ahmedsultan8044,Maza nehi aiya😔,4 hours ago
@stanlymarshmatter,Emily 😍  i belive in love again! 🫶,4 hours ago (edited)
@Tommy18,What a banger ❤,4 hours ago
@Majin_Esquivel,Esencia,4 hours ago
@stuarttaylor7919,Bit of Limp Bizkit. mmmmmmm GREAT!!!!!!!!!!!,4 hours ago
@CallieHuff-z3r,"Fantastic video, really appreciate your effort!",4 hours ago
@theYDK,Shes just not giving it her all. Replace her. Chester post deserves someone that is ready to give 100%.,4 hours ago
@SajjadKhan-g5p8m,"Thanks for sharing this, learned a lot.",4 hours ago
@Ferdel86,Rolón!!!... las 3 que han sacado del nuevo disco son GENIALES!.,4 hours ago
@TheSilentknight1520,Whys the broad so annoying?,4 hours ago
@Devi08,4th bangin track 🔥🔥🔥🔥,4 hours ago
@paulevans6066,Chester would be proud,4 hours ago
@merimama3112,"Fantastic video, really appreciate your effort!",4 hours ago
@pillboxstyx,Hell yeah!,4 hours ago
@sahandyhyv3980,on fire❤,4 hours ago
@eldemente09-t1t,One Step Closer 2😮‍💨🚬,4 hours ago
@NedGriffin,"Great job, this video was very useful!",4 hours ago
@ChethanChethu-cf4ng,"Loved this video, keep up the great work!",4 hours ago
@airin2324,"how f*cking good is it, thank you, a'm felling like going back to my 2010's💥💥💥 hope you see in more European counries, so i will have chance to take a part in this amazing vibe❤‍🔥❤‍🔥❤‍🔥❤‍🔥",4 hours ago
@kinglucas3975,❤❤❤❤❤❤❤❤❤❤,4 hours ago
@MeghanR-g6c,Thank you for the great content!,4 hours ago
@Chainsaw300Bhav,This song is a time machine portal. Took me back to 2003/2004,4 hours ago
@LPFAN487,"I love you, you put a smile on my face.
Another amazing song, of course because it's a Linkin Park song ! ❤",4 hours ago
@jorgemenjivar9229,Cada vez me convence más Emily y este album se esta convitiendo en una joyita 🎉,4 hours ago
@maisundmade6234,LP4Life! I heard you for the first time in 2003...i was 8 Years old...now I'm 29 and I listen to your songs with my two beautiful children. Thank you so much! LP4EVER,4 hours ago
@Lazuruz2012,GoodHybrid Theory vibes.... I love it.,4 hours ago
@YassenJL,"This one is fire! I'm really happy we get to experience these guys, doing music again. 🙂",4 hours ago
@matte1586,"This song gives me Meteora vibes, and i love it❤",4 hours ago (edited)
@dfhfgdhgfghgh,I like it,4 hours ago
@sarthakchawla1790,Chester nodding from heaven,4 hours ago
@papercut2820,thx! you reanimated my self healing process. bless linkin park!,4 hours ago (edited)
@MuhammadUsman-cy4dc,Ladies and gentlemens Mr HAHAN❤❤❤,4 hours ago
@user-ci6tw2ud2i,How to stop listening 🎧😂😂,4 hours ago
@mariajoser.arango3570,"Love it. You’re back guys. Cant wait to see u in Lima, Peru. ❤🇵🇪",4 hours ago
@secondlifezoneurbex6848,Sounds Like the good old Times 🔥🔥🔥,4 hours ago
@dmitriystelmakh8086,Still wondering how Mike genius is. He knew that any male singer would be always compared to Chester. With Emily on board you feel the same vibe as before with no comparison needed. What a management...,4 hours ago
@Dadtheimpaler,"I feel the same way about this song that I did about ""Bang Bang"" when Green Day released it: old school sound but refined and enhanced by years of experience. Well done!",4 hours ago
@faaadin,so bad.............................................................................................................................................. SO FU****G BAD!111111111111,4 hours ago
@wavybaby999,The intro had me saying  linkin  Park is back!  And the hook turned  me off😐  the first 55 seconds were fire af  after  that .. flop,4 hours ago
@ajalex27,non définitivement j'y arrive pas avec elle et sa voix.,4 hours ago
@TUYISENGEJeanClaude-s2j,Really appreciate the insights in this video.,4 hours ago
@alyonashestova5966,"Я не плачу, это просто слезы ❤",4 hours ago
@hesalucard,Essa veio lá do hybrid theory,4 hours ago
@tavosanchez7324,hubieran hecho estos temas cuando chester estaba vivo,4 hours ago
@savornsaing,"You explained this so well, thank you!",4 hours ago
@raulp9171,"Alright, this is the Linkin park I was waiting for!!",4 hours ago
@KeishaCooke-f5x,"Loved this video, keep up the great work!",4 hours ago
@_diddles_,All I see is Jinx.,4 hours ago (edited)
@otze1434,Looking forward to see you in Germany 2025,4 hours ago
@madamecadet8299,J'adoreeeee,4 hours ago
@hoseindanesh-p8l,❤,4 hours ago
@RioDeleon-k1g,Thank you for the great content!,4 hours ago
@ahmedguerchaoui4034,This is linkin park,4 hours ago
@chloephilippot,"Incroyable, i love you",4 hours ago
@NedGriffin-w2p,"Fantastic explanation, thank you!",4 hours ago
@xXNellielXx,Why isn't this longer 🥲🥲,4 hours ago
@quimonu,F A N T A S T I C <3  <3  <3  <3  <3  <3  <3,4 hours ago
@Fireworkfoxxvinyer,The new album caters to her voice and energy and I’m here for it . Plus shinoda rhyming again…LFG,4 hours ago
@TH3GUYCAST,Boo,4 hours ago
@nutchanonchaunthongkum8860,"BLACK OUTSIDE AND WHITE INSIDE, THE MIDDLE IS GRAY",4 hours ago
@AnaMarroco,"WOW:face-red-heart-shape:Nueva Era, pero mismo sonido autentico de Linkin Park¡¡¡¡  Bravooo¡¡¡   :face-blue-smiling::face-red-heart-shape::hand-purple-blue-peace:",4 hours ago
@angelodiblasi3396,Wooooooooooooooooooooooooooooooooooo,4 hours ago
@valinkatherealwitch,I LOVE THIS,4 hours ago
@geovannaalvesferreira2305,perfect,4 hours ago
@tielerjaneck6042,Favorite song so far!,4 hours ago
@EruuX,Love This song 😍,4 hours ago
@scaryfstball100,She still hasn't grown on me yet.,4 hours ago
@jamesnevol6091,We are waiting for you in Milan!,4 hours ago
@jankokoprivica-7030,This is not Linkin Park anymore ☹️,4 hours ago
@TIFfinyKrings,"Loved the content, keep it coming!",4 hours ago
@nighthawknina86,"i love the ""is that what it is""!!!  another amazing track!",4 hours ago
@jhonatansilva-cf1qi,Me lembra muito as performances do Red hot chili Peppers,4 hours ago
@samanthavernon1935,I’m so happy Linkin Park is Gay now. Pretty cool. Her vibe is sexy asf. 🤘🏻 Women of Rock.,4 hours ago
@xavierlejosse5594,🙌🙌👍👏,4 hours ago
@jasonortiz4261,From 1:58 to 2:26 straight goosebumps listening to that breakdown,4 hours ago
@coldbeing3793,"Ngl the chorus does not sound good, her voice sounds so weird with this track. I'm not trying to be a hater but Heavy is the Crown sounded perfect.

Everything else about this song sounds good just the chorus doesn't do it for me, could've went with a different direction on how it sounds imo",4 hours ago (edited)
@Molusqueti,LP IS BACK!,4 hours ago
@AlagesanA-x1f,"This video was amazing, learned a lot.",4 hours ago
@sound-engineer,"Damn, she literally looks like my ex who I was really into. The funny thing my ex always said that I looked like Mike.",4 hours ago (edited)
@vanesajanin7422,"Volviendo a las bases!!! Los amo! Me generan tantos sentimientos, los extrañe una vida!!!",4 hours ago
@studiopisces88,Emy.... you're what Chester needed......❤❤ aaaahhhhhh...I'm going crazy......aaah...love you Emy!!❤,4 hours ago (edited)
@G1D3L,Lavish reference?,4 hours ago (edited)
@T2Designgaming,"Ohhhh, this type of rapping from Mike, I'm back innnnnnnnnnnnnnnnnnnnnn",4 hours ago
@alejandromengualalonso0000,"Linkin Park is nothing without Chester
True soldiers won't forget you legend 🙏❤",4 hours ago
@TheEirinisig,Sounds like Don't stay. I love how goofy they are,4 hours ago
@jorgeparrales9403,I don’t care,4 hours ago
@scaryfstball100,@jorgeparrales9403  you cared enough to comment 😆,4 hours ago
@ssvd91,This was a miss,4 hours ago
@nasikuning6653,🔥🔥🔥🔥,4 hours ago
@wellin6,Yesssss 🤟🏿🤟🏿🤟🏿🤟🏿,4 hours ago
@fernandaraquel9501,I'm enjoying Linkin Park is back again😍,4 hours ago
@mmmXXbroccoli,lol @ at all the people who said she couldn't scream,4 hours ago
@Davidlabeij,Jeez! Again! All tracks are awesome!,4 hours ago
@bazucajoll6671,"Cruiz credo, que delícia 😍🤟",4 hours ago
@Pachavra,yeeaaah at last. miss you guys and Miss Emily Armstrong wellcome to LP  <3,4 hours ago
@jonathandiaz4997,21 hours ago 😅😮,4 hours ago
@AllisonGislason,"You explained this so well, thank you!",4 hours ago
@fernandaraquel9501,The best album after Meteora.❤,4 hours ago
@ThiagoOliveira-hm5id,So good!!!,4 hours ago
@lawes88,So happy that linken park are back. Listened to them through some tough times growing up. Now me and my kid rock linken park when I drive him to school. He found them on his own❤,4 hours ago
@agustinlaurini5190,Wow Everything is predictible,4 hours ago
@e-heromanny4348,Love how they’re all suited and dapper and Emily is just being angry silly,4 hours ago
@Valerie-qp9hb,Damn...this made me emotional.... freaking Rocks tho !!!!.....had to listen bout 10 times to let it my brain... RIP Chester ❤....,4 hours ago
@SWAGLIFT,What a BANGER! 💯💣💥,4 hours ago
@undertow4629,"Ok linkin...I see you haha. But I'll only exept/respect you if after the release you really start "" From Zero"" and only play the New stuff Live.. rare events do an old school song.  Start ""From Zero"" please..",4 hours ago
@torjlou,"""STOP YELLING AT ME"" I feel like I'm a teenager again. This is sick.",4 hours ago
@matthewdesjardins6081,"Just not hitting on the same level, I respect everyone trying to move past the past but this isn’t working. Best of luck in the future, I’ll live in the linkin park past. The present vocals just doesn’t do it for me 😢",4 hours ago
@avada0,"So they dusted off the old guitar effects and made some proper metal music, that sounds like Linkin Park.",4 hours ago
@allon4minoffpeter547,Two face one love,4 hours ago
@MurugesanM-x4z,"You explained this so well, thank you!",4 hours ago
@Axel-rg3du,this song sounds like is made for a god,4 hours ago (edited)
@PW_Thorn,Big up for Emily's level of craziness ❤❤❤,4 hours ago
@Kenoshahattrick,shave your head,4 hours ago
@jeffersonosoriomunoz5518,🥲,4 hours ago
@user-ci6tw2ud2i,1:05 so perfect! Awesome !😮This move looks like Jim Carrey moves 😂 The Mask,4 hours ago (edited)
@starvetheegofeedthesoul9072,Reminding me of The Guano Apes,4 hours ago
@Lucas-m9q5,Melhor música do ano ❤,4 hours ago
@mikasakamishiro1516,Molestuje player xD,4 hours ago
@ronnyrr9010,bizkit park xd,4 hours ago
@adilO.o,This is my Linkin Park ❤ this song just sent me back almost 24 years back to my teenager room jumping. Tomorrow I am definitely gonna headbang with my daughters on this one !!!,4 hours ago
@SaravananE-s7p,"You explained this so well, thank you!",4 hours ago
@Kiimjiim,"🇧🇷 Simply perfect! I thought the relaxed vibe of this video was incredible, they seemed to have a lot of fun. And those screams? I loved it, it reminded me of the feel of the old songs. 🖤💣",4 hours ago
@AJsFigures,"I am so torn, the whole band are killing it, but the new vocals and the mix are so frail and desperate sounding.  No power, no weight.",4 hours ago
@Glimpseofbrent,What a banger,4 hours ago
@johnbarron8535,This is more like it! I like this song.,4 hours ago (edited)
@LukasDudek7,You plowed my bad mood after a hard day with this song!,4 hours ago
@lusked6626,"that breakdown, that scratch, that scream
punching me straight back to the mid 00's watching amvs",4 hours ago
@charlettekeizer2753,Like this a lot😎,4 hours ago
@ДімаХейтер,what is this song about????,4 hours ago
@MiguelKobainofficial,so 2000's vibe love it <3,4 hours ago
@danielmelo7146,Magnificent.,4 hours ago
@merimama3112,"Fantastic explanation, thank you!",4 hours ago
@jindrichspilka2412,lying from you meets figure.09,4 hours ago
@SwivelHippie,Major Hybrid vibes....so good! And she looks like Cameron Diaz!!,4 hours ago (edited)
@JPMIIIIIIIII,voz do mike combina demais com lp.. nao tem como tirar nao,4 hours ago
@luizrafael3847,MUITO BOM ESSA POH@! VIVA O LP 🤘🏻🔥🎵,4 hours ago
@MarcosBay_,CQC,4 hours ago
@kleocrow,"⭐⭐⭐⭐⭐ - 5 star would recommend - Absolute Gold - The flavors, the ambiance and the whole presentation - GLORIOUS!!!! Will be back soon!!!",4 hours ago
@HusterHammerleqp,Great video! Really enjoyed it.,4 hours ago
@bettyayalattenicela6557,Me encantó el baile,4 hours ago
@MeghanR-g6c,"This was super helpful, thanks!",4 hours ago
@solanged.0325,it goes so hardddd,4 hours ago
@RyanGraham-lk4dx,Yes this is a banger,4 hours ago
@randymanx2674,Please stop. It’s over.,4 hours ago (edited)
@solanged.0325,save me emily in a suit pls save me,4 hours ago
@igorstepanyk8682,Guano Apes light version,4 hours ago
@bmloveofficial,My millennial heart is healed…. Ty LP ❤❤,4 hours ago
@NageshThakare-j5f,"This was super helpful, thanks!",4 hours ago
@thebambinofan,This is the definition of going back to your roots. I am here for this track for traci,4 hours ago
@fers_one,Круто...,4 hours ago
@jaredmiller8740,"I'm an OG LP fan, the sound is good, but she ain't no Chester. I'm gonna listen to a couple of the other new songs before I judge too harshly tho.",4 hours ago
@KailashMeena-u5d,"Loved this video, keep up the great work!",4 hours ago
@sarnam-b2m,"This was very informative, appreciate it.",4 hours ago
@Sagi56668,Wow who’s the chick?????,4 hours ago
@RomyRoelofs,AMAZING🎉,4 hours ago
@JK-zv2ex,Chester would annihilate that chorus & screams,4 hours ago
@RenanRochaDaSilvaCruz,LINKIN PARK IS BACK!!!!,4 hours ago
@Milkers777,Super Nostalgic and yet still Super Modern I FREAKING LOVE IT!!!!🤩🥵🎸🔥,4 hours ago
@Naiara_Delacosta,Ameiii essa música 🤘🏽 🖤🎶,4 hours ago
@SuperJet-j5o,"Смогли!!!...🤘🏻🤘🏻🤘🏻 
Хейтеры идут в форест - в лес, nah... 😂",4 hours ago
@carlosmendivil5459,"Chester should be produ AF. Thanks for bringing back my childness.

This sounds Hybrid Theory AF 🤘🤘🤘🤘",4 hours ago
@TanaTanaTanule,"Verry nice, welcome back ❤❤👏🙏",4 hours ago
@mdshafiqulislam-o7d,Amazing content as always!,4 hours ago
@AraKlet,this brings joy,4 hours ago
@studiopisces88,Once again.... aaaahhhhhh!,4 hours ago
@สากลบุญเกิด,"Great tips, thanks for sharing!",4 hours ago
@elfidelibirris,❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥,4 hours ago
@Manfred-ml1oq,S....h...11. ...|.    I  like it🎉,4 hours ago
@scootyang2311,Just great to have Linkin Park around during my life time,4 hours ago
@loveMovementJ,Talented af,4 hours ago
@dimdim1781,"Ну кто-то слышал Limp Bizkit, Halestorm  и Guano Apes😂 Держите марку, как всегда говно😂",4 hours ago
@fiorelemus8903,TEMAZOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,4 hours ago
@MARLANENTRETENIMENTO,👏🏻👏🏿👏🏾👏🏽✊🏽🇧🇷,4 hours ago
@savornsaing,"This video was amazing, learned a lot.",4 hours ago
@iwansuryataklal7696,Oh my god this  is linkin park new era. Woh female sound amazing.. The great come back LP. Iove ❤❤❤❤,4 hours ago
@robertoaguirre2317,What KIND of PARAMORE is this?,4 hours ago
@LaKlerre,I am imaging the haters now quietly listening to that masterpiece 😊,4 hours ago
@MonstaDaGoat,This is horrible wtf happened to linkin park. This is a failure,4 hours ago
@SanmugamLalitha-t9t,"Fantastic explanation, thank you!",4 hours ago
@suchatplahan3836,"This was very informative, appreciate it.",4 hours ago
@kvazistat,Why da it sound like Limp Bizkit,4 hours ago
@Mrmorland,This is tragedy.,4 hours ago
@AAS-wl3vq,Surprised they didn't have an eminem appearance. This is just one more reason to make sure bands change their name after the true talent passes on. Bleech,4 hours ago
@ScrappyCross,This isn't right without chester! 😞,4 hours ago
@MARLANENTRETENIMENTO,😂😂😂,4 hours ago
@crazylocked9969,Mucha suerte linkin park 👍👍,4 hours ago
@xTeeDox,I'm I dreaming? 🥹💥🤘🤘,4 hours ago
@AAS-wl3vq,"Amen, RIP Chester",4 hours ago
@LikaLinkin,❤❤❤❤❤❤❤❤❤🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥😍😍😍😍😍😍,4 hours ago
@RaynoK,One word! :  Amazing!,4 hours ago
@mansinghyadav9865,"This was exactly what I needed, thanks!",4 hours ago
@mrgonzale0978,"chester,chester,chester. jesus people move on already. you are grown men stop crying.",4 hours ago (edited)
@prashannikumbh4659,They are back finally with a banger 🔥😍,4 hours ago
@slimjarden1997,"It sounds like a song from Meterora or Hybrid Theory, I just love it.",4 hours ago
@hungarianjedi,"This is the best comeback that a band ever done.
I'm sure Chester would be proud.",4 hours ago (edited)
@italinstalion,Just listened to Figure09. If you listen to it closely look at the time signature and check the breakdown 2mins almost a copy paste. Do better. 😢😂😂🎉🎉,4 hours ago
@jorgeisaacrodriguez5467,Linkin park nunca perdió la chispa !!!,4 hours ago
@monuniverse,Giving that 2000’s feeling but in a new modern and better way 🔥,4 hours ago
@Skoogz_,Oh?! Their just having fun with it! Lets goooo,4 hours ago
